City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Leshukonskoye,RU,64.8989,45.7622,43.81,93,100,3.83,overcast clouds
174,Chuy,UY,-33.6971,-53.4616,66.29,70,24,15.99,few clouds
175,Sibolga,ID,1.7427,98.7792,77.27,81,100,3.31,overcast clouds
176,Dolores Hidalgo,MX,21.1561,-100.9308,61.79,68,94,3.69,overcast clouds
177,Necochea,AR,-38.5473,-58.7368,61.03,60,8,14.65,clear sky
178,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.79,94,40,16.11,scattered clouds
179,Karratha,AU,-20.7377,116.8463,73.9,61,2,22.73,clear sky
180,Alice Springs,AU,-23.7,133.8833,58.55,29,0,4.61,clear sky
181,Dingle,PH,10.9995,122.6711,75.87,94,100,4.56,overcast clouds
182,Haines Junction,CA,60.7522,-137.5108,33.75,93,100,3.44,moderate rain
183,Hofn,IS,64.2539,-15.2082,55.42,58,20,11.5,few clouds
184,Chokurdakh,RU,70.6333,147.9167,8.47,93,18,5.82,few clouds
185,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,66,20,5.75,few clouds
186,Cape Town,ZA,-33.9258,18.4232,64.11,63,40,24.16,scattered clouds
187,Yaan,NG,7.3833,8.5667,81.27,76,95,5.53,overcast clouds
188,Boddam,GB,57.4667,-1.7833,54.43,70,20,26.06,few clouds
189,Malko Tarnovo,BG,41.9833,27.5333,55.38,74,100,11.41,overcast clouds
190,Nchelenge,ZM,-9.3451,28.734,82.13,46,50,5.06,scattered clouds
191,Aklavik,CA,68.2191,-135.0107,32.72,96,98,1.5,overcast clouds
192,Coihaique,CL,-45.5752,-72.0662,45.21,65,90,5.75,overcast clouds
193,Salisbury,GB,51.0693,-1.7957,62.1,53,20,17.27,few clouds
194,Sambava,MG,-14.2667,50.1667,73.04,82,8,10.76,clear sky
195,Cairns,AU,-16.9167,145.7667,73.35,89,100,4.61,overcast clouds
196,Lavrentiya,RU,65.5833,-171.0,25.05,85,69,10.18,broken clouds
197,Kralendijk,BQ,12.15,-68.2667,89.58,62,20,11.5,few clouds
198,Buin,CL,-33.7333,-70.75,62.92,32,4,6.26,clear sky
199,Mahebourg,MU,-20.4081,57.7,73.69,73,75,11.5,broken clouds
200,Quimper,FR,48.0,-4.1,63.28,77,75,9.22,broken clouds
201,Shirakawa,JP,37.1223,140.2376,63.39,92,100,7.78,overcast clouds
202,Pevek,RU,69.7008,170.3133,19.65,91,53,10.16,broken clouds
203,Freeport,US,40.6576,-73.5832,67.37,54,1,1.99,clear sky
204,Faanui,PF,-16.4833,-151.75,78.98,70,74,17.4,broken clouds
205,Padang,ID,-0.9492,100.3543,75.25,79,100,3.29,overcast clouds
206,Pangnirtung,CA,66.1451,-65.7125,30.2,93,1,2.3,clear sky
207,Ponta Do Sol,PT,32.6667,-17.1,78.12,64,4,4.74,clear sky
208,Storforshei,NO,66.4043,14.5233,53.38,62,75,13.8,broken clouds
209,Saint-Philippe,RE,-21.3585,55.7679,73.22,73,35,11.77,scattered clouds
210,Porto Novo,BJ,6.4965,2.6036,82.22,75,92,10.29,light rain
211,Portland,US,45.5234,-122.6762,54.45,94,90,1.01,mist
212,Dok Kham Tai,TH,19.1624,99.9934,74.61,97,98,2.93,overcast clouds
213,Westport,US,41.1415,-73.3579,66.09,65,1,1.01,clear sky
214,Port Elizabeth,ZA,-33.918,25.5701,62.89,88,40,6.91,scattered clouds
215,Hasaki,JP,35.7333,140.8333,66.6,78,99,27.47,overcast clouds
216,Ukiah,US,39.1502,-123.2078,76.03,71,1,0.0,clear sky
217,Wlodawa,PL,51.55,23.55,53.91,73,99,7.27,overcast clouds
218,Yellandu,IN,17.6,80.3333,76.73,93,5,3.42,clear sky
219,Constantine,DZ,36.365,6.6147,78.21,50,40,11.5,thunderstorm
220,Salym,RU,60.0625,71.4789,34.12,89,93,10.09,overcast clouds
221,Farah,AF,32.5,62.5,75.34,21,0,5.03,clear sky
222,Gigmoto,PH,13.7796,124.39,80.49,83,100,2.57,overcast clouds
223,Pundaguitan,PH,6.3711,126.1689,83.82,73,98,4.43,overcast clouds
224,Grindavik,IS,63.8424,-22.4338,49.95,76,0,19.57,clear sky
225,Bima,ID,-8.4667,118.7167,76.15,91,43,4.63,scattered clouds
226,Atbasar,KZ,51.8,68.3333,38.35,81,100,12.93,overcast clouds
227,Fairbanks,US,64.8378,-147.7164,32.22,84,90,4.61,overcast clouds
228,Ilulissat,GL,69.2167,-51.1,33.82,40,40,9.22,scattered clouds
229,Mountain Home,US,43.133,-115.6912,54.1,75,1,5.75,clear sky
230,Henties Bay,NA,-22.116,14.2845,60.85,75,0,13.38,clear sky
231,Xai-Xai,MZ,-25.0519,33.6442,72.12,80,38,7.96,scattered clouds
232,Bengkulu,ID,-3.8004,102.2655,76.98,87,100,3.11,moderate rain
233,Wewak,PG,-3.5534,143.6268,76.41,94,100,5.3,moderate rain
234,Georgetown,MY,5.4112,100.3354,82.33,85,40,1.99,scattered clouds
235,Belaya Gora,RU,68.5333,146.4167,22.03,65,100,6.91,overcast clouds
236,Santa Rosalia,MX,27.3167,-112.2833,77.61,63,0,3.04,clear sky
237,Golden,US,39.7555,-105.2211,59.56,72,75,1.99,broken clouds
238,Port Hardy,CA,50.6996,-127.4199,48.2,100,75,2.3,broken clouds
239,Campana,AR,-34.1687,-58.9591,72.12,33,0,10.58,clear sky
