City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Hervey Bay,AU,2021-05-23 22:55:59,-25.2986,152.8535,69.04,71,3,14.38
172,Nome,US,2021-05-23 22:56:00,64.5011,-165.4064,47.16,64,82,5.77
173,Rio Gallegos,AR,2021-05-23 22:56:00,-51.6226,-69.2181,44.65,87,20,9.22
174,Alice Town,BS,2021-05-23 22:56:01,25.7167,-79.3,75.31,65,66,14.9
175,Kavieng,PG,2021-05-23 22:56:12,-2.5744,150.7967,81.73,79,100,7.61
176,Kalaleh,IR,2021-05-23 22:56:24,37.3807,55.4916,73.45,64,32,4.16
177,Monrovia,LR,2021-05-23 22:56:25,6.3005,-10.7969,78.57,80,43,5.21
178,Praia,CV,2021-05-23 22:56:25,14.9215,-23.5087,72.14,78,75,13.8
179,Magistralnyy,RU,2021-05-23 22:56:26,56.1725,107.4458,43.07,65,93,1.5
180,Avarua,CK,2021-05-23 22:56:26,-21.2078,-159.775,80.65,83,75,10.36
181,Nouadhibou,MR,2021-05-23 22:56:26,20.931,-17.0347,66.18,82,0,16.11
182,Kaitangata,NZ,2021-05-23 22:56:38,-46.2817,169.8464,48.92,77,79,3.31
183,Queanbeyan,AU,2021-05-23 22:56:38,-35.35,149.2333,53.47,97,90,4.61
184,Kasama,ZM,2021-05-23 22:56:39,-10.2129,31.1808,51.96,83,3,4.09
185,Tilik,PH,2021-05-23 22:56:39,13.8144,120.2002,83.84,74,2,12.91
186,Ginir,ET,2021-05-23 22:56:40,7.1333,40.7,55.13,91,45,5.12
187,Serowe,BW,2021-05-23 22:56:40,-22.3833,26.7167,51.4,72,0,4.85
188,Ballina,AU,2021-05-23 22:56:41,-28.8667,153.5667,61.79,88,40,8.05
189,Aktau,KZ,2021-05-23 22:56:52,43.65,51.2,66.78,28,0,13.29
190,Worthing,GB,2021-05-23 22:57:04,50.8145,-0.3713,51.48,88,100,15.01
191,Kristiinankaupunki,FI,2021-05-23 22:57:04,62.2743,21.376,39.87,78,67,12.35
192,Roald,NO,2021-05-23 22:57:05,62.5833,6.1333,50.9,93,20,5.75
193,Port Lincoln,AU,2021-05-23 22:57:05,-34.7333,135.8667,67.51,42,100,23.78
194,Tungor,RU,2021-05-23 22:57:06,53.3808,142.9564,36.25,92,100,13.78
195,Saskylakh,RU,2021-05-23 22:57:06,71.9167,114.0833,36.68,96,100,15.75
196,Rockhampton,AU,2021-05-23 22:57:07,-23.3833,150.5,67.89,64,2,8.05
197,Taoudenni,ML,2021-05-23 22:57:29,22.6783,-3.9836,100.35,15,14,12.77
198,Andenes,NO,2021-05-23 22:57:41,69.3143,16.1194,39.18,65,5,12.66
199,New Norfolk,AU,2021-05-23 22:57:53,-42.7826,147.0587,52.75,80,97,2.82
200,Ribeira Grande,PT,2021-05-23 22:55:21,38.5167,-28.7,60.66,63,97,3.91
201,The Valley,AI,2021-05-23 22:58:15,18.217,-63.0578,82.26,81,100,16.73
202,Rawson,AR,2021-05-23 22:55:13,-43.3002,-65.1023,54.64,62,76,12.03
203,Arman,RU,2021-05-23 22:58:16,59.7,150.1667,42.04,73,34,3.87
204,Sant Feliu De Guixols,ES,2021-05-23 22:58:17,41.7833,3.0333,61.23,20,100,6.64
205,Morondava,MG,2021-05-23 22:58:17,-20.2833,44.2833,68.36,76,0,12.24
206,Orbetello,IT,2021-05-23 22:58:18,42.4408,11.2196,65.62,93,98,5.08
207,Baturaja,ID,2021-05-23 22:58:18,-4.1333,104.1667,73.09,99,44,1.99
208,Maniitsoq,GL,2021-05-23 22:58:19,65.4167,-52.9,28.74,93,100,11.03
209,Luau,AO,2021-05-23 22:58:19,-10.7073,22.2247,57.6,57,0,4.09
210,Tabou,CI,2021-05-23 22:53:25,4.423,-7.3528,80.78,83,30,5.97
211,Iqaluit,CA,2021-05-23 22:58:31,63.7506,-68.5145,19.13,67,75,23.0
212,Amazar,RU,2021-05-23 22:58:32,53.858,120.875,36.55,99,100,4.45
213,Kapaa,US,2021-05-23 22:58:32,22.0752,-159.319,82.47,67,58,3.0
214,Awjilah,LY,2021-05-23 22:58:33,29.1081,21.2869,76.62,16,0,6.4
215,Tual,ID,2021-05-23 22:57:40,-5.6667,132.75,81.95,81,100,24.49
216,Mayumba,GA,2021-05-23 22:58:34,-3.432,10.6554,76.98,88,99,5.64
217,Birao,CF,2021-05-23 22:58:34,10.2849,22.7882,83.61,15,48,4.97
218,Umm Lajj,SA,2021-05-23 22:56:29,25.0213,37.2685,79.07,55,0,9.04
219,San Patricio,US,2021-05-23 22:58:57,28.017,-97.5169,86.09,68,80,12.24
220,Ambovombe,MG,2021-05-23 22:55:13,-25.1667,46.0833,64.76,87,0,2.04
221,Broken Hill,AU,2021-05-23 22:59:20,-31.95,141.4333,55.11,62,100,12.66
222,Kruisfontein,ZA,2021-05-23 22:56:45,-34.0033,24.7314,60.75,28,20,9.33
223,Port Hedland,AU,2021-05-23 22:57:41,-20.3167,118.5667,60.85,72,17,6.91
224,Olafsvik,IS,2021-05-23 22:57:13,64.8945,-23.7142,40.68,76,47,12.35
225,Nagato,JP,2021-05-23 22:59:32,34.3833,131.2,67.91,89,100,4.05
226,Byron Bay,AU,2021-05-23 22:59:33,-28.65,153.6167,66.87,79,98,12.66
227,Labuhan,ID,2021-05-23 22:59:33,-6.8844,112.2051,77.14,89,27,7.49
228,Hurghada,EG,2021-05-23 22:57:57,27.2574,33.8129,78.84,31,0,13.8
229,Abilene,US,2021-05-23 22:59:07,32.4487,-99.7331,82.89,67,100,5.99
230,Disna,BY,2021-05-23 22:59:34,55.568,28.1971,47.19,97,89,8.39
231,Goderich,CA,2021-05-23 22:57:28,43.7501,-81.7165,63.21,72,100,12.66
232,Lebu,CL,2021-05-23 22:55:47,-37.6167,-73.65,53.4,79,99,1.97
233,Esperance,AU,2021-05-23 22:56:26,-33.8667,121.9,48.04,84,88,24.11
234,Cernatesti,RO,2021-05-23 22:59:47,45.2667,26.7667,65.93,74,33,5.3
235,Kondinskoye,RU,2021-05-23 22:59:47,59.6481,67.41,54.66,63,100,7.36
236,Fairbanks,US,2021-05-23 22:59:48,64.8378,-147.7164,56.61,46,85,1.01
237,Nizwa,OM,2021-05-23 22:58:12,22.9333,57.5333,83.25,48,1,2.28
238,Palmer,US,2021-05-23 22:55:17,42.1584,-72.3287,75.67,69,75,11.1
239,Agadez,NE,2021-05-23 22:59:49,19.75,10.25,88.0,9,1,8.01
240,Quixere,BR,2021-05-23 22:59:49,-5.0742,-37.9886,80.51,72,85,7.56
241,Chuy,UY,2021-05-23 22:59:50,-33.6971,-53.4616,53.85,88,100,23.44
242,Slavsk,RU,2021-05-23 23:00:01,55.0425,21.677,45.81,83,64,7.23
243,Jalu,LY,2021-05-23 23:00:04,29.0331,21.5482,75.85,15,0,6.53
244,Aztec,US,2021-05-23 23:00:06,36.8222,-107.9929,70.48,7,0,4.94
245,Uddevalla,SE,2021-05-23 23:00:30,58.3478,11.9424,52.16,95,89,8.01
246,Naples,IT,2021-05-23 22:58:33,40.8333,14.25,72.14,60,0,4.0
247,Belmonte,BR,2021-05-23 23:00:31,-15.8631,-38.8828,75.11,90,57,9.1
248,Banda Aceh,ID,2021-05-23 23:00:31,5.5577,95.3222,81.0,81,100,10.4
249,Punakha,BT,2021-05-23 23:00:32,27.5837,89.8598,67.84,88,40,1.92
250,East London,ZA,2021-05-23 23:00:29,-33.0153,27.9116,63.41,30,86,7.65
251,Livingstone,ZM,2021-05-23 23:00:33,-17.8419,25.8543,55.29,68,0,4.65
252,Novyy Urengoy,RU,2021-05-23 23:00:33,66.0833,76.6333,51.13,79,95,19.42
253,Alyangula,AU,2021-05-23 23:00:34,-13.8483,136.4192,78.73,72,94,11.41
254,Flinders,AU,2021-05-23 23:00:45,-34.5833,150.8552,61.38,97,98,1.01
255,Acari,PE,2021-05-23 23:00:57,-15.4311,-74.6158,68.86,70,48,4.07
256,Asau,RO,2021-05-23 23:01:08,46.4333,26.4,58.28,97,76,9.15
257,Haines Junction,CA,2021-05-23 23:01:09,60.7522,-137.5108,44.13,86,100,3.09
258,Sao Filipe,CV,2021-05-23 23:01:20,14.8961,-24.4956,73.51,77,1,12.24
259,Campbell River,CA,2021-05-23 23:00:13,50.0163,-125.2446,65.26,55,36,1.01
260,Tacna,PE,2021-05-23 23:01:33,-18.0056,-70.2483,59.09,83,6,3.56
261,Ostrovnoy,RU,2021-05-23 23:01:33,68.0531,39.5131,33.01,67,6,3.51
262,Biltine,TD,2021-05-23 23:01:33,14.5333,20.9167,84.63,13,16,10.25
263,Pisco,PE,2021-05-23 23:00:41,-13.7,-76.2167,66.02,80,60,4.09
264,Boa Vista,BR,2021-05-23 23:01:22,2.8197,-60.6733,85.98,70,40,8.05
265,Hami,CN,2021-05-23 23:01:57,42.8,93.45,63.63,18,0,4.81
266,Katobu,ID,2021-05-23 23:01:57,-4.9408,122.5276,76.59,91,34,1.36
267,Coquimbo,CL,2021-05-23 23:01:28,-29.9533,-71.3436,61.2,67,60,2.59
268,Havoysund,NO,2021-05-23 23:01:58,70.9963,24.6622,37.35,60,61,9.98
269,Khorostkiv,UA,2021-05-23 23:01:59,49.2111,25.9217,55.62,97,100,6.69
270,Arnedo,ES,2021-05-23 23:02:10,42.2167,-2.1,52.16,64,43,4.12
271,Yerbogachen,RU,2021-05-23 23:02:11,61.2767,108.0108,46.35,48,28,4.85
272,Harrison,US,2021-05-23 23:02:11,30.4091,-89.0436,84.31,65,1,9.22
273,Saint-Georges,GD,2021-05-23 23:02:12,12.0564,-61.7485,79.68,80,52,15.9
274,Jamame,SO,2021-05-23 23:02:12,0.0722,42.7506,76.82,76,59,11.97
275,Saint Anthony,US,2021-05-23 23:02:24,45.0205,-93.218,77.49,77,1,1.99
276,Dalvik,IS,2021-05-23 23:02:24,65.9702,-18.5286,37.2,96,100,2.82
277,Baruun-Urt,MN,2021-05-23 23:02:48,46.6806,113.2792,39.63,43,89,19.33
278,Raudeberg,NO,2021-05-23 23:01:18,61.9875,5.1352,48.87,93,98,4.61
279,Westport,US,2021-05-23 23:02:48,41.1415,-73.3579,87.78,71,20,13.4
280,Churapcha,RU,2021-05-23 23:02:49,62.0025,132.4325,47.84,57,100,12.84
281,Lavrentiya,RU,2021-05-23 23:02:49,65.5833,-171.0,33.08,96,88,4.83
282,Paamiut,GL,2021-05-23 23:02:50,61.994,-49.6678,33.13,91,100,10.89
283,Te Anau,NZ,2021-05-23 23:00:45,-45.4167,167.7167,44.22,86,20,4.03
284,Severnyy,RU,2021-05-23 23:03:01,50.677,36.5532,57.24,62,0,4.47
285,Machilipatnam,IN,2021-05-23 23:03:02,16.1667,81.1333,86.97,75,98,13.38
286,Merrill,US,2021-05-23 23:03:03,45.1805,-89.6835,61.52,88,90,10.36
287,Caboolture,AU,2021-05-23 23:03:03,-27.0833,152.95,69.06,53,10,5.99
288,Laguna,US,2021-05-23 23:03:03,38.421,-121.4238,82.45,31,1,1.99
289,Mjolby,SE,2021-05-23 23:03:04,58.326,15.1237,49.75,95,100,7.83
290,Bluff,NZ,2021-05-23 23:03:04,-46.6,168.3333,49.8,62,92,7.7
291,Guerrero Negro,MX,2021-05-23 23:03:05,27.9769,-114.0611,67.86,53,4,20.09
292,Yumen,CN,2021-05-23 23:03:05,40.2833,97.2,52.97,19,0,5.23
293,Cidreira,BR,2021-05-23 23:03:17,-30.1811,-50.2056,57.9,68,52,26.82
294,Tautira,PF,2021-05-23 23:01:51,-17.7333,-149.15,86.02,76,56,6.02
295,Weyburn,CA,2021-05-23 23:03:18,49.6668,-103.8511,49.17,72,97,17.07
296,Tilichiki,RU,2021-05-23 23:03:18,60.4667,166.1,33.89,85,100,10.83
